architecture,alpha,train_seed,neighbor_mode,update,mean_success,mean_completion,mean_steps,mean_return,policy_loss,value_loss,entropy
shared,0.0,2,visible,17,0.75,0.9583333333333334,54.75,2.465000000000033,-0.011651352543690763,0.09147430386813543,1.513067111890598
shared,0.0,2,visible,18,0.75,0.9583333333333334,40.25,3.3350000000000204,-0.01825197548308443,0.10068494276470287,1.493362200725986
shared,0.0,2,visible,19,1.0,1.0,15.25,5.085000000000014,-0.03106921913740319,0.18078259767209562,1.4379412661249513
shared,0.0,2,visible,20,1.0,1.0,23.5,4.590000000000022,-0.017619228987345064,0.14773267545006533,1.4294040528863072
shared,0.0,2,visible,21,1.0,1.0,16.5,5.010000000000017,-0.027680604080381994,0.11977156247076082,1.3839345194742332
shared,0.0,2,visible,22,1.0,1.0,34.5,3.9300000000000397,-0.010417029778566022,0.1012907132812607,1.4034398823491259
shared,0.0,2,visible,23,1.0,1.0,16.75,4.995000000000016,-0.021448816895414127,0.1737244573966037,1.3405873376059836
shared,0.0,2,visible,24,1.0,1.0,20.5,4.770000000000021,-0.023389527785906108,0.16678989095572186,1.3402384310452966
shared,0.0,2,visible,25,1.0,1.0,13.5,5.190000000000014,-0.026900606196328555,0.1749480157005988,1.2924164003959189
shared,0.0,2,visible,26,1.0,1.0,20.25,4.78500000000002,-0.02171990466878105,0.10643280843959825,1.332230183407087
shared,0.0,2,visible,27,1.0,1.0,18.0,4.920000000000017,-0.021109544224199972,0.11298507211663776,1.3189604808753161
shared,0.0,2,visible,28,1.0,1.0,8.75,5.4750000000000085,-0.03662545726918614,0.20617299471357314,1.1529962408546517
shared,0.0,2,visible,29,1.0,1.0,9.75,5.415000000000008,-0.02781366272724537,0.16747218234139133,1.1656290125946904
shared,0.0,2,visible,30,1.0,1.0,13.75,5.175000000000013,-0.022500763086941402,0.205632522219658,1.1838728046861255
shared,0.25,0,visible,1,0.5,0.875,72.75,7.447500000000073,-0.008944483428346583,0.12396781958272003,1.6020342006703532
shared,0.25,0,visible,2,0.25,0.8750000000000001,93.5,6.202500000000116,-0.006002096570917712,0.07446498052695406,1.6027677021366697
shared,0.25,0,visible,3,0.5,0.875,74.75,7.327500000000079,-0.005132529702780898,0.13636308009964984,1.6017202573503768
shared,0.25,0,visible,4,1.0,1.0,56.5,10.11000000000006,-0.005004011447917807,0.13543130745428825,1.5964816035411002
shared,0.25,0,visible,5,0.5,0.875,85.25,6.697500000000101,-0.005277006688729644,0.088549895775521,1.595493498614689
shared,0.25,0,visible,6,1.0,1.0,57.5,10.050000000000058,-0.007815276750780633,0.10463579040774189,1.5936348375461649
shared,0.25,0,visible,7,0.5,0.9166666666666667,72.25,8.040000000000079,-0.006271238209092474,0.14863097213614415,1.5920778031918486
shared,0.25,0,visible,8,0.5,0.9166666666666667,71.75,8.070000000000089,-0.006204949680233117,0.0825609937062561,1.5839784580014078
shared,0.25,0,visible,9,0.75,0.9583333333333334,47.75,10.072500000000058,-0.0051544511667283716,0.11489043224483762,1.5744224699702059
shared,0.25,0,visible,10,0.75,0.9583333333333334,57.5,9.487500000000063,-0.008604454576881602,0.10505801592746494,1.5621382880342514
shared,0.25,0,visible,11,1.0,1.0,59.0,9.96000000000007,-0.005146704689220125,0.07100942291216675,1.5518935492119683
shared,0.25,0,visible,12,0.25,0.8750000000000001,95.25,6.097500000000112,-0.005038208383015212,0.10109372387767192,1.5476943009327933
shared,0.25,0,visible,13,0.5,0.9166666666666667,68.0,8.29500000000008,-0.0070476387859192795,0.08179452186817347,1.545494594065437
shared,0.25,0,visible,14,0.75,0.9583333333333334,39.75,10.552500000000048,-0.009421749933773512,0.12316627174765371,1.5372712016297485
shared,0.25,0,visible,15,0.75,0.9583333333333334,55.75,9.592500000000065,-0.008681211280740663,0.1367535417410252,1.5353512099909419
shared,0.25,0,visible,16,0.5,0.875,63.5,8.002500000000076,-0.004514981010419636,0.09719296651935133,1.5344165973366584
shared,0.25,0,visible,17,1.0,1.0,39.5,11.13000000000004,-0.008927572639683561,0.205244323159506,1.5076646387185533
shared,0.25,0,visible,18,1.0,1.0,18.0,12.420000000000018,-0.01982851178146754,0.21916042777223765,1.4911054772538082
shared,0.25,0,visible,19,1.0,1.0,27.0,11.880000000000027,-0.012099230768542031,0.2790156538753644,1.4613510348986825
shared,0.25,0,visible,20,1.0,1.0,27.0,11.880000000000033,-0.009006920962353464,0.14368638807183792,1.473124280989678
shared,0.25,0,visible,21,0.75,0.9583333333333334,49.5,9.967500000000062,-0.006408081709653407,0.0931324089337976,1.4859337130522516
shared,0.25,0,visible,22,1.0,1.0,16.5,12.510000000000018,-0.02025424845812895,0.19757331096521924,1.409015844613276
shared,0.25,0,visible,23,0.75,0.9583333333333334,36.75,10.732500000000044,-0.006292365165542773,0.09829989560191088,1.4423718039787892
shared,0.25,0,visible,24,1.0,1.0,11.75,12.795000000000012,-0.020604045629265353,0.2309369669348567,1.3499130542469986
shared,0.25,0,visible,25,0.5,0.9166666666666667,56.25,9.000000000000068,-0.008314426947969475,0.09925099542498957,1.4752207854528858
shared,0.25,0,visible,26,0.75,0.9583333333333334,32.75,10.972500000000037,-0.010460536755147782,0.11407141082062237,1.4478425149034102
shared,0.25,0,visible,27,0.75,0.9583333333333334,36.0,10.777500000000044,-0.010919626698712282,0.0785908550985254,1.4637691149835996
shared,0.25,0,visible,28,1.0,1.0,21.0,12.240000000000025,-0.017416265185547303,0.2689813697396098,1.399490668077053
shared,0.25,0,visible,29,1.0,1.0,14.0,12.660000000000014,-0.018726546809400516,0.14699088465232965,1.365399491348094
shared,0.25,0,visible,30,1.0,1.0,11.0,12.84000000000001,-0.012345705955283823,0.3484598578791815,1.3192651345711253
shared,0.25,1,visible,1,0.5,0.8333333333333333,93.5,5.640000000000085,-0.009861986212429306,0.08898852185400175,1.6019375592276177
shared,0.25,1,visible,2,0.5,0.875,85.5,6.682500000000099,-0.006085206686739415,0.08705894393442463,1.600074240959226
shared,0.25,1,visible,3,0.25,0.8750000000000001,87.5,6.562500000000091,-0.005179557004572271,0.10816091827993014,1.6004105203901582
shared,0.25,1,visible,4,1.0,1.0,36.75,11.295000000000037,-0.007792297559413615,0.23153239744004125,1.5973243461874265
shared,0.25,1,visible,5,0.5,0.7916666666666666,86.5,5.497500000000095,-0.0038620749071253783,0.09304605092840852,1.5979741886552343
shared,0.25,1,visible,6,0.5,0.7916666666666666,76.0,6.127500000000073,-0.004303106005959017,0.10481929681234907,1.5947724706320003
shared,0.25,1,visible,7,0.25,0.7916666666666667,82.25,5.752500000000078,-0.0034305525365499355,0.09205971911775558,1.595035260888031
shared,0.25,1,visible,8,0.5,0.875,79.5,7.042500000000092,-0.005686003792576023,0.08762519007052241,1.5934687059854424
