run_id,timestamp_utc,policy,reward_scheme,alpha,seed,n_agents,n_targets,success,steps,targets_collected,completion_rate,total_distance,distance_per_target,coordination_efficiency,attempted_collisions,collision_rate,action_entropy,spatial_order,mean_interagent_distance,role_differentiation,team_return
5fc32ba5487b,2026-09-15T02:53:13.675406+00:00,greedy,weak,0.75,0,6,8,1,12,8,1.0,72,9.0,0.013888888888888888,0,0.0,1.9809256184491058,0.4428668829700513,8.761211795019005,0.20203050891044214,6.213333333333333
95abc5b87139,2026-09-15T02:53:13.678176+00:00,greedy,weak,0.75,1,6,8,1,11,8,1.0,66,8.25,0.015151515151515152,11,0.16666666666666666,1.9067600917647214,0.3814790512429244,7.884100719645571,0.40406101782088427,6.223333333333333
111237f535ce,2026-09-15T02:53:13.680233+00:00,greedy,weak,0.75,2,6,8,1,8,8,1.0,48,6.0,0.020833333333333332,0,0.0,1.9324799544077593,0.296528030667372,8.462522731956874,0.5890150893739515,6.253333333333334
04d3c13a4d8b,2026-09-15T02:53:13.683198+00:00,greedy,weak,0.75,3,6,8,1,12,8,1.0,72,9.0,0.013888888888888888,0,0.0,1.7680881674441833,0.5304001370634883,5.824540848982566,0.5345224838248487,6.213333333333335
1db8b9c48fcb,2026-09-15T02:53:13.685546+00:00,greedy,weak,0.75,4,6,8,1,10,8,1.0,60,7.5,0.016666666666666666,3,0.05,1.8901074801412552,0.3134972782429222,8.782250197912601,0.40406101782088427,6.2333333333333325
71270acb40fc,2026-09-15T02:53:13.690715+00:00,greedy,weak,0.75,5,6,8,1,23,8,1.0,138,17.25,0.007246376811594203,8,0.057971014492753624,1.8532403909745012,0.537160084708749,6.044115438865305,0.47380354147934284,6.103333333333335
c977055b4606,2026-09-15T02:53:13.694508+00:00,greedy,weak,0.75,6,6,8,1,17,8,1.0,102,12.75,0.00980392156862745,5,0.049019607843137254,1.9007202161803232,0.4823919046762942,8.046217480610936,0.31943828249996986,6.163333333333335
32e2ea4d5851,2026-09-15T02:53:13.699189+00:00,greedy,weak,0.75,7,6,8,1,21,8,1.0,126,15.75,0.007936507936507936,0,0.0,1.6860060866207174,0.6586558471490415,6.110077081167498,0.40406101782088427,6.123333333333335
bfdc8b621b1b,2026-09-15T02:53:13.702128+00:00,greedy,weak,0.75,8,6,8,1,13,8,1.0,78,9.75,0.01282051282051282,5,0.0641025641025641,1.6970139434966216,0.523638883372844,8.142389728806101,0.31943828249996986,6.203333333333335
4df31d00b256,2026-09-15T02:53:13.704097+00:00,greedy,weak,0.75,9,6,8,1,8,8,1.0,48,6.0,0.020833333333333332,13,0.2708333333333333,1.6755548868930705,0.5978372127489168,7.155561270369285,0.5890150893739515,6.253333333333334
fe7da31a20aa,2026-09-15T02:53:13.707147+00:00,greedy,weak,1.0,0,6,8,1,12,8,1.0,72,9.0,0.013888888888888888,0,0.0,1.9809256184491058,0.4428668829700513,8.761211795019005,0.20203050891044214,7.880000000000002
2bb34f318c49,2026-09-15T02:53:13.709818+00:00,greedy,weak,1.0,1,6,8,1,11,8,1.0,66,8.25,0.015151515151515152,11,0.16666666666666666,1.9067600917647214,0.3814790512429244,7.884100719645571,0.40406101782088427,7.890000000000001
ed7d83f0ecb8,2026-09-15T02:53:13.711814+00:00,greedy,weak,1.0,2,6,8,1,8,8,1.0,48,6.0,0.020833333333333332,0,0.0,1.9324799544077593,0.296528030667372,8.462522731956874,0.5890150893739515,7.920000000000001
dbcf1321f15e,2026-09-15T02:53:13.714543+00:00,greedy,weak,1.0,3,6,8,1,12,8,1.0,72,9.0,0.013888888888888888,0,0.0,1.7680881674441833,0.5304001370634883,5.824540848982566,0.5345224838248487,7.880000000000002
30c6995f8153,2026-09-15T02:53:13.716937+00:00,greedy,weak,1.0,4,6,8,1,10,8,1.0,60,7.5,0.016666666666666666,3,0.05,1.8901074801412552,0.3134972782429222,8.782250197912601,0.40406101782088427,7.900000000000001
b1479635eb1f,2026-09-15T02:53:13.721980+00:00,greedy,weak,1.0,5,6,8,1,23,8,1.0,138,17.25,0.007246376811594203,8,0.057971014492753624,1.8532403909745012,0.537160084708749,6.044115438865305,0.47380354147934284,7.770000000000004
92d06490cf5d,2026-09-15T02:53:13.725927+00:00,greedy,weak,1.0,6,6,8,1,17,8,1.0,102,12.75,0.00980392156862745,5,0.049019607843137254,1.9007202161803232,0.4823919046762942,8.046217480610936,0.31943828249996986,7.830000000000003
ed0c683e8ac1,2026-09-15T02:53:13.730599+00:00,greedy,weak,1.0,7,6,8,1,21,8,1.0,126,15.75,0.007936507936507936,0,0.0,1.6860060866207174,0.6586558471490415,6.110077081167498,0.40406101782088427,7.790000000000004
a22d65bcaa5f,2026-09-15T02:53:13.733607+00:00,greedy,weak,1.0,8,6,8,1,13,8,1.0,78,9.75,0.01282051282051282,5,0.0641025641025641,1.6970139434966216,0.523638883372844,8.142389728806101,0.31943828249996986,7.870000000000003
17938d9df9a8,2026-09-15T02:53:13.735679+00:00,greedy,weak,1.0,9,6,8,1,8,8,1.0,48,6.0,0.020833333333333332,13,0.2708333333333333,1.6755548868930705,0.5978372127489168,7.155561270369285,0.5890150893739515,7.920000000000001
