architecture,alpha,train_seed,evaluation_seed,neighbor_mode,success,steps,completion_rate,total_distance,coordination_efficiency,attempted_collisions,collision_rate,action_entropy,spatial_order,mean_interagent_distance,role_differentiation,team_return
independent,0.75,0,103,visible,0,100,0.3333333333333333,157,0.0,31,0.051666666666666666,1.970700655263326,0.8822491213334237,6.313657888885265,0.677974576218221,3.5000000000000155
independent,0.75,0,104,visible,0,100,0.3333333333333333,32,0.0,1,0.0016666666666666668,1.5999083593342944,0.08021989784999169,5.271497389624594,0.6378124596837308,3.500000000000019
independent,0.75,1,100,visible,0,100,0.3333333333333333,226,0.0,47,0.07833333333333334,2.0632916932609002,0.6867529733685706,5.821228891672133,1.5205615364399567,3.5000000000000173
independent,0.75,1,101,visible,0,100,0.6666666666666666,216,0.0,0,0.0,2.2273679374824242,0.6796698226852663,6.5399500921167695,0.9678320376464902,13.000000000000028
independent,0.75,1,102,visible,0,100,0.5,50,0.0,3,0.005,1.8418223241384557,0.05551194132923997,7.472463324375711,0.6712032413796192,8.249999999999954
independent,0.75,1,103,visible,0,100,0.8333333333333334,49,0.0,3,0.005,2.256751585205985,0.1249531390155925,7.260067343084676,0.9690726712994014,17.75000000000011
independent,0.75,1,104,visible,0,100,0.5,131,0.0,0,0.0,2.207609758943849,0.9292132034355964,7.575832670098045,1.017937644895876,8.249999999999952
independent,0.75,2,100,visible,0,100,0.8333333333333334,231,0.0,3,0.005,1.603389201648868,0.08037962581741803,6.388455092536406,0.535037641286328,17.75000000000012
independent,0.75,2,101,visible,0,100,0.6666666666666666,141,0.0,90,0.15,2.1869012937777,0.9379927052203371,6.18103075969809,0.7379306662774282,13.000000000000025
independent,0.75,2,102,visible,0,100,0.6666666666666666,244,0.0,5,0.008333333333333333,1.9377526805372107,0.907682056320955,6.536723919327795,0.8952452534844428,13.000000000000018
independent,0.75,2,103,visible,0,100,0.3333333333333333,118,0.0,98,0.16333333333333333,1.5844520442741699,0.9721614870556174,6.740102578573735,0.9384777445619538,3.5000000000000155
independent,0.75,2,104,visible,0,100,0.6666666666666666,150,0.0,1,0.0016666666666666668,1.8027117235031602,0.9047870866461907,6.514496033294537,0.44324871290010914,13.000000000000025
independent,1.0,0,100,visible,0,100,0.0,4,0.0,0,0.0,1.4752630946331293,0.013333333333333332,5.582861587459263,1.1180339887498951,-5.99999999999999
independent,1.0,0,101,visible,0,100,0.16666666666666666,17,0.0,1,0.0016666666666666668,1.4591479170272446,0.0506449510224598,5.688550165416013,1.2829003598617212,8.049116928532385e-15
independent,1.0,0,102,visible,0,100,0.0,8,0.0,95,0.15833333333333333,1.4591479170272446,0.057453559924999294,4.564896874383291,1.6007810593582121,-5.99999999999999
independent,1.0,0,103,visible,0,100,0.0,12,0.0,0,0.0,1.4591479170272446,0.06828427124746189,6.338939904037045,1.5275252316519468,-5.99999999999999
independent,1.0,0,104,visible,0,100,0.16666666666666666,4,0.0,0,0.0,1.4591479170272446,0.017453559924999296,6.85811850266671,1.1547005383792515,8.93729534823251e-15
independent,1.0,1,100,visible,0,100,0.5,38,0.0,0,0.0,1.006155057161192,0.03516249189228807,6.440366139450009,0.5577940795416316,12.000000000000002
independent,1.0,1,101,visible,0,100,0.5,32,0.0,91,0.15166666666666667,1.0439533223494841,0.07147213595499957,6.71294824873373,1.1363816099231312,11.999999999999998
independent,1.0,1,102,visible,0,100,0.6666666666666666,31,0.0,99,0.165,1.5302410735717342,0.10881647215132993,6.306028371788878,0.9447657792826673,18.000000000000117
independent,1.0,1,103,visible,0,100,0.5,29,0.0,88,0.14666666666666667,1.0236881407418497,0.10700009669392906,6.480491397544134,0.9361076742846793,11.999999999999991
independent,1.0,1,104,visible,0,100,0.6666666666666666,41,0.0,0,0.0,1.5178758289006644,0.04634153057881278,7.331732078610635,0.5177807314038915,18.000000000000117
independent,1.0,2,100,visible,0,100,0.3333333333333333,125,0.0,0,0.0,1.9033017771391973,0.9562026518055078,6.74863173477343,0.9463777096015996,5.999999999999982
independent,1.0,2,101,visible,0,100,0.3333333333333333,321,0.0,2,0.0033333333333333335,1.878094038630426,0.3404085508402458,5.8889210390972595,0.766517718132546,5.999999999999988
independent,1.0,2,102,visible,0,100,0.0,231,0.0,3,0.005,1.8262266741856186,0.6706296627720468,5.865884821592133,1.12987012987013,-5.99999999999999
independent,1.0,2,103,visible,0,100,0.0,209,0.0,49,0.08166666666666667,1.8313827568634469,0.6892269110842849,7.361416065008402,1.3132119164167737,-5.99999999999999
independent,1.0,2,104,visible,0,100,0.16666666666666666,23,0.0,0,0.0,1.7924572050424652,0.03373502555494362,7.590118091531355,0.7208463779436853,7.16093850883226e-15
